loss,categorical_accuracy,weighted_f1,micro_f1,macro_f1,Precision Description,Recall Description,Precision Sintomas,Recall Sintomas,Precision Causas,Recall Causas,Precision FactoresRiesgo,Recall FactoresRiesgo,Precision Complicaciones,Recall Complicaciones,Precision Prevencion,Recall Prevencion,Precision Diagnostico,Recall Diagnostico,Precision Tratamiento,Recall Tratamiento,trial_id,time_total_s,dataset,optimizer,n_units_gru,bidirectional,trainable_embeddings,act_funct,n_units_mlp,n_hidden_layers,dropout,batch_size,F-Score Description,F-Score Sintomas,F-Score Causas,F-Score FactoresRiesgo,F-Score Complicaciones,F-Score Prevencion,F-Score Diagnostico,F-Score Tratamiento,stacked_gru_layers,second_layer_bidirectional
0.3296675682067871,0.9077970385551452,0.9076281785964966,0.9077970385551452,0.9046627283096312,0.900900900363922,0.8658008575439453,0.926086962223053,0.946666657924652,0.877828061580658,0.8699551820755005,0.930481255054474,0.920634925365448,0.9194630980491638,0.7784090638160706,0.8999999761581421,0.8999999761581421,0.9776785969734192,0.9647576808929444,0.9589040875434875,0.9333333373069764,ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,0.8830022029534572,0.9362637349019202,0.8738738901579972,0.925531903250609,0.8430769117265053,0.8999999761581421,0.9711751645318434,0.9459459372599512,False,
0.299843430519104,0.9139851331710817,0.9137747287750244,0.9139851331710817,0.9116312265396118,0.9209302067756652,0.8571428656578064,0.9388646483421326,0.9555555582046508,0.8552631735801697,0.8744394779205322,0.9405405521392822,0.920634925365448,0.8917197585105896,0.7954545617103577,0.9105691313743592,0.9333333373069764,0.9865471124649048,0.9691630005836488,0.9427312612533568,0.951111137866974,0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,0.8878923692671409,0.9471365751112988,0.8647450269458035,0.9304812915145716,0.8408408558300203,0.9218107146872304,0.9777777937070822,0.946902659915026,False,
0.309800773859024,0.9201732873916626,0.920101284980774,0.9201733469963074,0.9181491732597352,0.8691983222961426,0.8917748928070068,0.926724135875702,0.9555555582046508,0.918660283088684,0.8609865307807922,0.9405405521392822,0.920634925365448,0.9240506291389464,0.8295454382896423,0.8880000114440918,0.925000011920929,0.9819004535675048,0.9559471607208252,0.9434782862663268,0.9644444584846495,63c847d8,1007.187690258026,Doc2Vec_Little,Adamax,64,True,True,relu,64.0,2,0.35,32,0.8803418860045175,0.9409190374240168,0.8888888783307058,0.9304812915145716,0.8742514862900179,0.9061224606572366,0.968750012929228,0.9538461736918158,False,
0.3941891491413116,0.8836633563041687,0.8834493160247803,0.8836632966995239,0.8795861005783081,0.8651162981987,0.8051947951316833,0.9551569223403932,0.946666657924652,0.8035714030265808,0.8071748614311218,0.950276255607605,0.9100528955459596,0.8857142925262451,0.7045454382896423,0.8292682766914368,0.8500000238418579,0.982300877571106,0.9779735803604126,0.903930127620697,0.9200000166893004,81644750,974.075701713562,Doc2Vec_Little,Adamax,64,True,True,relu,32.0,2,0.35,32,0.8340807209802795,0.9508928386928104,0.8053691015156472,0.9297297281483996,0.7848101191710934,0.8395061762735182,0.980132452721016,0.9118942796042306,False,
0.3334619998931885,0.9003713130950928,0.9000169038772583,0.9003713130950928,0.8959400653839111,0.9103773832321168,0.8354978561401367,0.945945918560028,0.9333333373069764,0.8644067645072937,0.9147982001304626,0.8854166865348816,0.8994709253311157,0.8333333134651184,0.7386363744735718,0.8965517282485962,0.8666666746139526,0.990867555141449,0.9559471607208252,0.9464285969734192,0.9422222375869752,368ca9fc,2251.560512781143,Doc2Vec_Little,Adamax,16,True,False,,,0,0.3,32,0.8713318510002913,0.9395973039400436,0.8888888779746252,0.8923884742620216,0.7831325274383159,0.8813559382991248,0.9730941709759132,0.9443207331271064,False,
0.3213610649108886,0.9077970385551452,0.9077656269073486,0.9077970385551452,0.906753659248352,0.9074074029922484,0.8484848737716675,0.9342105388641356,0.946666657924652,0.850220263004303,0.865470826625824,0.920634925365448,0.920634925365448,0.9006211161613464,0.8238636255264282,0.9098360538482666,0.925000011920929,0.9686098694801332,0.9515418410301208,0.9502262473106384,0.9333333373069764,8a4a2624,1307.3233523368835,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,1,0.2,32,0.8769575058514508,0.9403973530376224,0.8577777646382648,0.920634925365448,0.860534117872393,0.9173553718031204,0.959999997292036,0.941704039353944,False,
0.4073701500892639,0.9053217768669128,0.9053777456283568,0.9053217768669128,0.905253291130066,0.84375,0.8181818127632141,0.9508928656578064,0.946666657924652,0.8506787419319153,0.8430493474006653,0.9315789341926576,0.9365079402923584,0.9119496941566468,0.8238636255264282,0.9152542352676392,0.8999999761581421,0.9864253401756288,0.9603524208068848,0.9375,0.9333333373069764,b5d1ca2a,2252.5692636966705,Doc2Vec_Big,Adamax,64,False,False,relu,64.0,1,0.4,32,0.8307692279759243,0.9487750555273198,0.8468468613706716,0.9340369345735308,0.8656716396931311,0.9075630120946208,0.9732142850294548,0.9354120287217392,False,
0.3528807759284973,0.9127475023269652,0.912567377090454,0.9127475023269652,0.9111907482147216,0.8783783912658691,0.8441558480262756,0.9495412707328796,0.9200000166893004,0.8799999952316284,0.8878923654556274,0.9255319237709044,0.920634925365448,0.8682634830474854,0.8238636255264282,0.938596487045288,0.8916666507720947,0.9866666793823242,0.9779735803604126,0.9237288236618042,0.9688888788223268,9beb21da,1056.5905973911283,Doc2Vec_Big,Adamax,64,True,True,relu,64.0,1,0.2,32,0.8609271605210024,0.9345372480390236,0.8839285634600614,0.923076929869879,0.8454810485940034,0.9145299041843352,0.9823008973502414,0.945770065575149,False,
0.3495640456676483,0.9016088843345642,0.901387631893158,0.9016088843345642,0.8987966775894165,0.8689956068992615,0.8614718317985535,0.9363636374473572,0.9155555367469788,0.8486238718032837,0.8295964002609253,0.9005235433578491,0.9100528955459596,0.8797468543052673,0.7897727489471436,0.921052634716034,0.875,0.9909909963607788,0.9691630005836488,0.9188033938407898,0.9555555582046508,216b65f2,1163.8485736846924,Doc2Vec_Big,Adamax,64,True,False,relu,64.0,2,0.2,32,0.8652173633081927,0.9258426875421576,0.8390022703724763,0.9052631422026997,0.8323353498200619,0.8974358989250338,0.9799554617459184,0.9368191604108268,False,
0.3764034807682037,0.9009901285171508,0.9009119272232056,0.9009901285171508,0.8977562785148621,0.91304349899292,0.8181818127632141,0.9488372206687928,0.9066666960716248,0.9076923131942748,0.7937219738960266,0.93478262424469,0.9100528955459596,0.8926174640655518,0.7556818127632141,0.9528301954269408,0.8416666388511658,0.9954751133918762,0.9691630005836488,0.9025423526763916,0.946666657924652,da18cb38,2153.9023110866547,Doc2Vec_Big,Adamax,64,True,False,relu,8.0,1,0.35,32,0.8630137048769362,0.9272727480789352,0.8468899550043246,0.9222520108421024,0.8184615413372333,0.8938052970191043,0.9821428598358524,0.9240780763510412,False,
